མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
,,309,9,《པེ་》《སྣར་》,རྐུ།,,
,,310,10,《པེ་》《སྣར་》,བསྐོར།,,
,,311,11,《པེ་》《སྣར་》,ལོངས།,,
,,312,12,《པེ་》《སྣར་》,བཞག,,
,,313,13,《པེ་》《སྣར་》,འདུས།,,
,,314,14,《པེ་》《སྣར་》,གི།,,
,,315,15,《པེ་》《སྣར་》,བརྐུ།,,
,,316,16,《པེ་》,བཟློགས་ཏེ།,《སྣར་》,ཟློགས་ཏེ།,《ཅོ་》,བཟློག་སྟེ།
,,317,17,《པེ་》《སྣར་》,མཇུག,,
,771,318,1,《པེ་》《སྣར་》,mགཞན་གྱི།,,
,,319,2,《པེ་》《སྣར་》,pགང་ཟག,,
,,320,3,《པེ་》《སྣར་》,བསྲོངས།,,
,,321,4,《ཅོ་》,བརྩས།,,
,,322,5,《པེ་》《སྣར་》,མང་།,,
,,323,6,《པེ་》《སྣར་》,གྱི།,,
,,324,7,《པེ་》《སྣར་》,བརྐུ།,,
,,325,8,《པེ་》《སྣར་》,སྩལ།,,
,,326,9,《པེ་》《སྣར་》《ཅོ་》,གྱིས།,,
,,327,10,《པེ་》《སྣར་》,བརྐུ།,,
,,328,11,《ཅོ་》,པར།,,
,,329,12,《པེ་》《སྣར་》,སྦོམ་པོའོ།། གཉི་ག,,
,772,330,1,《སྣར་》,ཚ་ན་བག,,
,,331,2,《པེ་》《སྣར་》,བསྒྲུབ།,,
,,332,3,《པེ་》《སྣར་》,བསླུ།,,
,,333,4,《པེ་》《སྣར་》,བཀག,,
,,334,5,《པེ་》《སྣར་》,འཁར།,,
,,335,6,《པེ་》《སྣར་》,mདག,,
,,336,7,《པེ་》《སྣར་》,ཏ།,,
,,337,8,《པེ་》《སྣར་》,ལ།,,
,773,338,1,《སྣར་》,བུ།,,
,774,339,1,《པེ་》《སྣར་》,བཞག,,
,,340,2,《པེ་》《སྣར་》,མཚན།,,
,,341,3,《པེ་》《སྣར་》,མཚན།,,
,,342,4,《པེ་》《སྣར་》,ཀྱི།,,
,,343,5,《པེ་》《སྣར་》,བསྒྲེང་སྟེ།,,
,,344,6,《པེ་》《སྣར་》,པས།,,
,,345,7,《པེ་》《སྣར་》,ལྟ།,,
,,346,8,《པེ་》《སྣར་》,བསད།,,
