མཚན་བྱང།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
,,380,8,《སྣར་》,སྒོམ།,,,,,,
,522,381,1,《པེ་》《སྣར་》,ལ་འབྱུང་།,,,,,,
,,382,2,《པེ་》《སྣར་》,ཆེ།,,,,,,
,,383,3,《སྣར་》,པས།,,,,,,
,,384,4,《པེ་》《སྣར་》,བ་ཡིན།,,,,,,
,623,385,1,《པེ་》,ཀྱིས།,,,,,,
,,386,2,《སྣར་》,སྒོམ།,,,,,,
,,387,3,《པེ་》《སྣར་》,ཡི།,,,,,,
,,388,4,《པེ་》《སྣར་》,ལྟ།,,,,,,
,,389,5,《པེ་》,མིན་སྐྱེད།,《སྣར་》,མིན་བསྐྱེད།,,,,,
,,390,6,《པེ་》《སྣར་》,མེ།,,,,,,
,,391,7,《པེ་》《སྣར་》,ལས།,,,,,,
,,392,8,《པེ་》《སྣར་》,བྱུང་།,,,,,,
,524,393,1,《པེ་》《སྣར་》,བསྐྱེད།,,,,,,
,,394,2,《པེ་》《སྣར་》,གྱི།,,,,,,
,,395,3,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,396,4,《པེ་》《སྣར་》,དང་།,,,,,,
,,397,5,《པེ་》《སྣར་》,ལ།,,,,,,
,,398,6,《པེ་》《སྣར་》,པར།,,,,,,
,,399,7,《པེ་》《སྣར་》,བརྟན།,,,,,,
,,400,8,《པེ་》《སྣར་》,ལ།,,,,,,
,,401,9,《པེ་》《སྣར་》,འབྲངས།,,,,,,
,,402,10,《པེ་》《སྣར་》,སྐྱེས་པ།,,,,,,
,525,403,1,《པེ་》《སྣར་》,mའབྲས་བུ་ཉམས་སུ་མྱོང་བ་ནི།།,,,,,,
,,404,2,《པེ་》《སྣར་》,སྤོང་།,,,,,,
,,405,3,《པེ་》《སྣར་》,དེ་བསྐྱེད།,,,,,,
,,406,4,《སྣར་》,pཔ།,,,,,,
,,407,5,《པེ་》《སྣར་》,སྒྲུབ།,,,,,,
,,408,6,《པེ་》《སྣར་》,རབ།,,,,,,
,526,409,1,《པེ་》《སྣར་》,ཏེ།,,,,,,
,,410,2,《པེ་》《སྣར་》,དཔོག,,,,,,
,,411,3,《པེ་》《སྣར་》,འགོག,,,,,,
,,412,4,《པེ་》《སྣར་》,བ།,,,,,,
,,413,5,《པེ་》《སྣར་》,འབྲེལ།,,,,,,
,,414,6,《སྣར་》,འདོགས།,,,,,,
