མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ,མཆན།,
,,314,3,《པེ་》《སྣར་》,pདང་།,
,,315,4,《པེ་》《སྣར་》,པོར།,
,,316,5,《པེ་》《སྣར་》《ཅོ་》,དགར།,
,,317,6,《སྣར་》,ཤཱ།,
,,318,7,《པེ་》《སྣར་》,ཞིག,
,,319,8,《པེ་》《སྣར་》,ཏེ།,
,,320,9,《པེ་》《སྣར་》,ཀ་ཏྱ།,
,,321,10,《པེ་》《སྣར་》,སྐྲ་བྲེག,
,,322,11,《པེ་》,ཆགས་ཏེ།,《སྣར་》,ཆགས་སྟེ།
,,323,12,《པེ་》《སྣར་》,སློབ།,
,507,324,1,《པེ་》《སྣར་》,mལ།,
,,325,2,《སྣར་》,གིས།,
,,326,3,《པེ་》《སྣར་》,རྟོག,
,,327,4,《པེ་》《སྣར་》,ཀྱི།,
,,328,5,《པེ་》《སྣར་》,གཉིས་ཀྱི།,
,,329,6,《སྣར་》,པར།,
,,330,7,《པེ་》《སྣར་》,ཤ་སྟག,《ཅོ་》,ཤེ་བདག
,,331,8,《པེ་》《སྣར་》,འདི།,
,,332,9,《པེ་》《སྣར་》,པ་སྟེ།,
,,333,10,《པེ་》《སྣར་》,ཤ་སྟག,
,,334,11,《པེ་》《སྣར་》,རྟོག,
,508,335,1,《པེ་》《སྣར་》,ཐོབ།,
,,336,2,《པེ་》《སྣར་》,ཤ་སྟག,
,,337,3,《པེ་》《སྣར་》,ཤ་སྟག,
,,338,4,《པེ་》《སྣར་》,ཀྱི།,
,,339,5,《པེ་》《སྣར་》《ཅོ་》,pདེ་ལ།,
,,340,6,《པེ་》《སྣར་》,mནི།,
,,341,7,《སྣར་》,ཀྱིས།,
,,342,8,《པེ་》,pརྣམ་པ།,
,,343,9,《པེ་》,mཀྱིས།,
,509,344,1,《པེ་》《སྣར་》,ཤ་སྟག,
,,345,2,《པེ་》《སྣར་》,ཏེ།,
,,346,3,《པེ་》《སྣར་》,བསྒོམས།,
,,347,4,《པེ་》《སྣར་》《ཅོ་》,རིགས།,
,,348,5,《པེ་》《སྣར་》,པ།,
,,349,6,《པེ་》《སྣར་》,སྒྲུབ།,
,,350,7,《པེ་》《སྣར་》,པ།,
,,351,8,《པེ་》《སྣར་》,བསྒོམ།,
,,352,9,《པེ་》《སྣར་》,ལོ་འཁྲུལ་པ།,
,510,353,1,《པེ་》《སྣར་》,ཀྱིས།,
,,354,2,《པེ་》《སྣར་》,པའི།,
,,355,3,《པེ་》《སྣར་》,བུ།,
,,356,4,《པེ་》《སྣར་》,mཀྱིས།,
,511,357,1,《པེ་》《སྣར་》,ཀྱི་དབུལ་འཕོངས།,
,,358,2,《པེ་》《སྣར་》,ཀྱི་ཇི།,
,,359,3,《པེ་》《སྣར་》,སྟོབས།,
,,360,4,《པེ་》《སྣར་》,ཀྱི།,
,,361,5,《པེ་》《སྣར་》,ཇི།,
,,362,6,《པེ་》《སྣར་》,དང་།,
,,363,7,《པེ་》《སྣར་》,ཀྱི།,
,,364,8,《པེ་》《སྣར་》,mཔ།,
,,365,9,《པེ་》《སྣར་》,སྒྲུན།,
,512,366,1,《པེ་》《སྣར་》,རྟོག,
,,367,2,《སྣར་》,བསྒོམ།,
,,368,3,《པེ་》《སྣར་》,འཇོག,
,,369,4,《པེ་》《སྣར་》,རྟོག,
,,370,5,《པེ་》《སྣར་》,རྟོག,
