མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
སྒྲ་མདོ། རེ།,1037,2,1,《པེ་》《སྣར་》,རྣམ་དབྱེའི་ཚིག་ལེའུར་བྱས་པ་སདྷི་བྷ་དྲས་མཛད་པ།,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,130,15,《པེ་》《སྣར་》,ཨཙྲའོ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,131,16,《པེ་》《སྣར་》,ཤསྲ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,132,17,《སྣར་》,པའོ། །ཨིཀྲའི།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,133,18,《པེ་》《སྣར་》,ཨཙྲ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,134,19,《པེ་》《སྣར་》,ཨཔྲ་ལས་ནུཊྲའོ། །ནཱམྲ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,135,20,《པེ་》《སྣར་》,ཨིཏྲ་ཨུཏྲ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,136,21,《པེ་》《སྣར་》,ཨཽཏྲའོ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,137,22,《པེ་》《སྣར་》,ཡཎྲ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,138,23,《པེ་》,ཨིགྲའི་ཡཎྲ་ཨ་ཙྲ།,《སྣར་》,ཨིཀྲའི་མཎྲ་ཨཙྲ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,139,24,《པེ་》《སྣར་》,mཔ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,140,25,《པེ་》《སྣར་》,ཨུཏྲ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,141,26,《པེ་》,ཨེ་ངའོ། ཨེངྲ་།,《སྣར་》,ཨེངྲའོ། །ཨེངྲ་།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,142,27,《པེ་》《སྣར་》,བཅད།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,143,28,《པེ་》《སྣར་》,ཁ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,144,29,《སྣར་》,ཁཱིནྲ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,145,30,《སྣར་》,བྷྱི།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,146,31,《པེ་》《སྣར་》,ཁི་བྷྱཱཾ། ས་ཁི་བྷྱཿསཁྱུཿསཁྱོཿསཁཱིནཱཾཿ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,147,32,《སྣར་》,ཏེས་ཁེ། ཏེས།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,148,33,《པེ་》《སྣར་》,དེ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1043,149,1,《པེ་》《སྣར་》,བཅད།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,150,2,《པེ་》《སྣར་》,ཨཙྲ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,151,3,《པེ་》《སྣར་》,པ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,152,4,《པེ་》《སྣར་》,ཛསྲ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,153,5,《པེ་》《སྣར་》,ཨཙྲའི།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,154,6,《པེ་》《སྣར་》《ཅོ་》,ཡ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,155,7,《པེ་》《སྣར་》,ཤསྲ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,156,8,《པེ་》《སྣར་》,ཨིཀྲའི་ཡ་ཎྲ་ཨཙྲལའོ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,157,9,《པེ་》《སྣར་》,ཨཔ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,158,10,《པེ་》《སྣར་》,ནུཊྲའོ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,159,11,《པེ་》《སྣར་》,ཀིཏྲ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
