མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན,,,,,,
,,326,5,《པེ་》《སྣར་》,བརྗོད་ཀྱི།,,,,,,
,58,327,1,《པེ་》《སྣར་》,དེ།,,,,,,
,,328,2,《པེ་》《སྣར་》,བ་ར་ཎཱ་སི།,,,,,,
,,329,3,《པེ་》《སྣར་》,གནས།,,,,,,
,59,330,1,《སྣར་》,སྒོ་ཟོད།,,,,,,
,,331,2,《པེ་》《སྣར་》,གྱི།,,,,,,
,,332,3,《པེ་》《སྣར་》,mམ།,,,,,,
,,333,4,《པེ་》《སྣར་》,གྱིས།,,,,,,
,,334,5,《པེ་》,འདིའི།,,,,,,
,,335,6,《པེ་》《སྣར་》,mདུ།,,,,,,
,,336,7,《པེ་》《སྣར་》,mཏེ།,,,,,,
,60,337,1,《པེ་》《སྣར་》,mནི།,,,,,,
,,338,2,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,339,3,《པེ་》《སྣར་》,mདང་།,,,,,,
,,340,4,《པེ་》《སྣར་》,དང་།,,,,,,
,,341,5,《པེ་》《སྣར་》,mཡང་།,,,,,,
,,342,6,《པེ་》《སྣར་》,mལ།,,,,,,
,,343,7,《པེ་》《སྣར་》,གྱི།,,,,,,
,,344,8,《པེ་》《སྣར་》,གཅིག,,,,,,
,,345,9,《པེ་》《སྣར་》,གིས།,,,,,,
,,346,10,《པེ་》《སྣར་》,གཞག,,,,,,
,,347,11,《པེ་》《སྣར་》,བསྡོངས།,,,,,,
,61,348,1,《པེ་》《སྣར་》,བཞི་བཤད་པས།,,,,,,
,,349,2,《པེ་》《སྣར་》,པ།,,,,,,
,,350,3,《ཅོ་》,བཞག,,,,,,
,,351,4,《པེ་》《སྣར་》,mདེ།,,,,,,
,,352,5,《པེ་》《སྣར་》,མ།,,,,,,
,,353,6,《པེ་》《སྣར་》,གིས།,,,,,,
,,354,7,《པེ་》《སྣར་》,གི།,,,,,,
,62,355,1,《པེ་》,pམ།,,,,,,
,,356,2,《པེ་》《སྣར་》,pཅི་དེ་དག་འབྲས་བུ་ཞིག་ཡོད་ཅེ་ན།,,,,,,
,,357,3,《པེ་》《སྣར་》,ཀུན།,,,,,,
,,358,4,《ཅོ་》,ནི།,,,,,,
,,359,5,《པེ་》《སྣར་》,ཞེས།,,,,,,
,,360,6,《ཅོ་》,ཕ།,,,,,,
,,361,7,《པེ་》《སྣར་》,བལྟ།,,,,,,
,,362,8,《པེ་》《སྣར་》,བསྟེན།,,,,,,
,,363,9,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,63,364,1,《པེ་》《སྣར་》,mབརྒྱ་པ།,,,,,,
,,365,2,《པེ་》《སྣར་》,རིགས།,,,,,,
,,366,3,《པེ་》《སྣར་》,མ།,,,,,,
,,367,4,《པེ་》《སྣར་》,དེ།,,,,,,
,,368,5,《པེ་》《སྣར་》,བསལ།,,,,,,(ཆོས་ཚན་འདིའི་ནང་དུ་བཙལ་ཞེས་པ་རྣམས་72ལ་བསལ་ཞེས་འཁོད་ཀྱང་བསྡུར་མཆན་དུ་བཀོད་མེད།)
,,369,6,《པེ་》《སྣར་》,དེ།,,,,,,
,64,370,1,《པེ་》《སྣར་》,mརྣམ་པ།,,,,,,
,,371,2,《སྣར་》,mཉིད།,,,,,,
,,372,3,《པེ་》《སྣར་》,pམི།,,,,,,
,,373,4,《པེ་》《སྣར་》,བརྟག,,,,,,
,65,374,1,《པེ་》《སྣར་》,pངེས་པ།,,,,,,
,,375,2,《པེ་》《སྣར་》,རིག,,,,,,
,66,376,1,《པེ་》,mཏེ།,,,,,,
,,377,2,《པེ་》《སྣར་》,གི།,,,,,,
,,378,3,《པེ་》《སྣར་》,ན།,,,,,,
,,379,4,《པེ་》《སྣར་》,བྱུང་།,,,,,,
,,380,5,《པེ་》《སྣར་》,mམ།,,,,,,
,,381,6,《པེ་》《སྣར་》,གི།,,,,,,
,67,382,1,《པེ་》《སྣར་》,བརྗོད།,,,,,,
,,383,2,《པེ་》《སྣར་》,བརྗོད།,,,,,,
,,384,3,《པེ་》《སྣར་》,ལ།,,,,,,
,,385,4,《པེ་》《སྣར་》,ཅིག,,,,,,
,,386,5,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,387,6,《སྣར་》,pམ།,,,,,,
,,388,7,《པེ་》《སྣར་》,གྱིས།,,,,,,
,,389,8,《པེ་》《སྣར་》,པ།,,,,,,
,68,390,1,《པེ་》,ཕྱིའི།,,,,,,
,,391,2,《པེ་》《སྣར་》,གྱིས་དབང་གིས།,,,,,,
,,392,3,《པེ་》《སྣར་》,གིས།,,,,,,
,,393,4,《པེ་》《སྣར་》,mཡོད་པ།,,,,,,
,,394,5,《པེ་》《སྣར་》,mསོ།,,,,,,
